ostan,shahrestan,bakhsh,fam,pop,m,f,lat,lon
خوزستان,رامشير,مشراگه,4282,16428,8610,7818,31.0320401,49.44252786570908
خوزستان,گتوند,عقيلي,4898,18853,9821,9032,32.17077055,48.91059939492
خوزستان,گتوند,مرکزي,11905,46210,23708,22502,35.9929045,52.94912620817931
خوزستان,انديکا,آبژدان,4888,19488,9828,9660,32.14956405,49.52529070922735
خوزستان,انديکا,چلو,2420,10945,5687,5258,32.440863,49.658555071670634
خوزستان,انديکا,مرکزي,4270,17196,8746,8450,35.9929045,52.94912620817931
خوزستان,هفتگل,رغيوه,1230,4874,2454,2420,31.545135549999998,49.31649046865867
خوزستان,هفتگل,مرکزي,4678,17245,8739,8506,35.9929045,52.94912620817931
خوزستان,هويزه,نيسان,2312,10060,5502,4558,31.340211699999998,47.838453298214304
خوزستان,هويزه,مرکزي,7137,28826,14625,14201,35.9929045,52.94912620817931
خوزستان,باوي,مرکزي,9048,33802,16879,16923,35.9929045,52.94912620817931
خوزستان,باوي,ويس,16548,62681,31782,30899,31.452358500000003,49.00743178455362
خوزستان,حميديه,مرکزي,10152,39897,20536,19361,35.9929045,52.94912620817931
خوزستان,حميديه,گمبوعه,3446,13865,7027,6838,31.3785894,48.454615418037115
خوزستان,آغاجاري,مرکزي,3479,11919,5878,6041,35.9929045,52.94912620817931
خوزستان,آغاجاري,جولکي,1481,5730,2831,2899,30.7854692,49.90802063575077
خوزستان,کارون,مرکزي,21803,82692,42285,40407,35.9929045,52.94912620817931
خوزستان,کارون,سويسه,5946,23180,11679,11501,31.05900245,48.57062095911185
فارس,آباده,مرکزي,31667,100820,50986,49834,35.9929045,52.94912620817931
فارس,استهبان,رونيز,6944,22648,11707,10941,29.2896876,53.843864037959705
فارس,استهبان,مرکزي,13935,46166,23275,22891,35.9929045,52.94912620817931
فارس,اقليد,سده,5317,18290,9233,9057,30.6719448,52.1305239982633
فارس,اقليد,مرکزي,17150,57875,29362,28513,35.9929045,52.94912620817931
فارس,اقليد,حسن آباد,4651,16528,8469,8059,30.42689435,52.54094224045369
فارس,جهرم,خفر,13590,42263,21597,20666,30.9990836,51.482546
فارس,جهرم,سيمکان,5183,17560,9072,8488,28.6985633,53.041196414616536
فارس,جهرم,کرديان,4686,14851,7915,6936,28.680372400000003,53.53392207670996
