ostan,shahrestan,bakhsh,shahr,district,fam,pop,m,f,lat,lon
خراسان رضوئ,مشهد,مرکزئ,مشهد,4,76692,262184,131474,130710,36.30383002451639,59.66619537464903
خراسان رضوئ,مشهد,مرکزئ,مشهد,5,48593,175603,87139,88464,36.28287804041728,59.643172767896374
خراسان رضوئ,مشهد,مرکزئ,مشهد,6,67036,232616,116708,115908,36.27588713072671,59.618281865451436
خراسان رضوئ,مشهد,مرکزئ,مشهد,7,76501,253236,128083,125153,36.25774418277798,59.60974709794061
خراسان رضوئ,مشهد,مرکزئ,مشهد,8,29989,92543,45968,46575,36.27496800110913,59.591296829970446
خراسان رضوئ,مشهد,مرکزئ,مشهد,9,103093,327061,161903,165158,36.31293176694742,59.50178291695833
خراسان رضوئ,مشهد,مرکزئ,مشهد,10,92018,296823,148856,147967,36.36141059985183,59.5167159169075
خراسان رضوئ,مشهد,مرکزئ,مشهد,11,60609,200161,102429,97732,36.33728952163799,59.500853736206835
خراسان رضوئ,مشهد,مرکزئ,مشهد,12,26521,83974,42439,41535,36.370817124790314,59.480706597942785
اصفهان,اصفهان,مرکزي,اصفهان,1,27282,79091,38747,40344,32.64259618615666,51.64455363188345
اصفهان,اصفهان,مرکزي,اصفهان,2,21808,69120,35179,33941,32.67264658742032,51.63866139787368
اصفهان,اصفهان,مرکزي,اصفهان,3,36956,110368,54540,55828,32.66925799314153,51.693087514114765
اصفهان,اصفهان,مرکزي,اصفهان,4,43812,133731,66833,66898,32.64260621255355,51.7077787978732
اصفهان,اصفهان,مرکزي,اصفهان,5,48039,150865,73063,77802,32.62288837235609,51.65364389787282
اصفهان,اصفهان,مرکزي,اصفهان,6,37630,112129,54964,57165,32.621524608302536,51.66753231505985
اصفهان,اصفهان,مرکزي,اصفهان,7,52925,168732,85106,83626,32.694492965055964,51.67639852670921
اصفهان,اصفهان,مرکزي,اصفهان,8,75339,239756,120375,119381,32.70424895299721,51.6664137267094
اصفهان,اصفهان,مرکزي,اصفهان,9,24370,75168,38055,37113,32.64909114599456,51.619240128554814
اصفهان,اصفهان,مرکزي,اصفهان,10,65602,207803,104859,102944,32.6883519290602,51.711143757390715
اصفهان,اصفهان,مرکزي,اصفهان,11,17962,58841,29992,28849,32.69167510540682,51.60574419772865
اصفهان,اصفهان,مرکزي,اصفهان,12,42655,136376,68744,67632,32.71598782736969,51.632755511368984
اصفهان,اصفهان,مرکزي,اصفهان,13,38854,132469,71829,60640,32.61460429995207,51.616188926707856
اصفهان,اصفهان,مرکزي,اصفهان,14,47999,164850,84286,80564,32.71034301316013,51.72461922110489
اصفهان,اصفهان,مرکزي,اصفهان,15,37858,121961,62596,59365,32.656012148134906,51.75964450156616
سيستان و بلوچستان,زاهدان,مرکزئ,زاهدان,1,24200,96535,50072,46463,29.447634104870122,60.84123352566434
سيستان و بلوچستان,زاهدان,مرکزئ,زاهدان,2,29210,112926,56234,56692,29.497270049195716,60.84449129597471
سيستان و بلوچستان,زاهدان,مرکزئ,زاهدان,3,40109,159362,81566,77796,29.506462805945386,60.86515301316177
سيستان و بلوچستان,زاهدان,مرکزئ,زاهدان,4,27272,114088,59057,55031,29.503278429493,60.88206162684388
سيستان و بلوچستان,زاهدان,مرکزئ,زاهدان,5,25926,104819,52621,52198,29.483110042634323,60.87790759782063
کردستان,سنندج,مرکزئ,سنندج,1,29020,94031,47484,46547,35.32697358028216,46.99204389792258
کردستان,سنندج,مرکزئ,سنندج,2,40514,134928,69537,65391,35.31339035247656,47.00168531462968
کردستان,سنندج,مرکزئ,سنندج,3,56706,183808,91038,92770,35.31937980038064,46.99385602992478
همدان,همدان,مرکزي,همدان,1,39972,124391,59898,64493,34.78641987493597,48.493864088912325
همدان,همدان,مرکزي,همدان,2,55204,171067,84784,86283,34.78048231446531,48.52357766726496
همدان,همدان,مرکزي,همدان,3,39380,128723,65472,63251,34.82016210056578,48.542164048635954
همدان,همدان,مرکزي,همدان,4,40175,130225,66301,63924,34.817902763374875,48.50399484112097
زنجان,زنجان,مرکزي,زنجان,1,53201,180669,92314,88355,36.6906505736459,48.46883115561965
زنجان,زنجان,مرکزي,زنجان,2,31651,102010,51611,50399,36.667022939699706,48.49768615192646
زنجان,زنجان,مرکزي,زنجان,3,47617,148192,73481,74711,36.66965990204038,48.47049452678396
لرستان,خرم آباد,مرکزي,خرم آباد,1,36769,126917,63086,63831,33.50326480272049,48.354254333218975
لرستان,خرم آباد,مرکزي,خرم آباد,2,30025,99764,49820,49944,33.467219080773184,48.346902297888
لرستان,خرم آباد,مرکزي,خرم آباد,3,42437,146735,73575,73160,33.45502981191952,48.33631207898322
بوشهر,بوشهر,مرکزئ,بوشهر,1,35554,120307,60973,59334,28.974065648076966,50.8278729167098
بوشهر,بوشهر,مرکزئ,بوشهر,2,28266,103197,54287,48910,28.912404853145496,50.82418540807911
يزد,يزد,مرکزئ,يزد,1,48200,158099,80321,77778,31.88786165222143,54.355351926695405
يزد,يزد,مرکزئ,يزد,2,47085,157034,80816,76218,31.883780106993335,54.371949404747774
هرمزگان,بندرعباس,مرکزئ,بندرعباس,1,59856,207724,107093,100631,27.205142073206662,56.35693448429208
هرمزگان,بندرعباس,مرکزئ,بندرعباس,2,41163,139480,70546,68934,27.182296518837763,56.277308616011766
هرمزگان,بندرعباس,مرکزئ,بندرعباس,3,51843,179444,91394,88050,27.19214405825488,56.29690652034713
تهران,تهران,مرکزئ,تهران,1,166881,487508,238693,248815,35.80576965754508,51.45938992953356
تهران,تهران,مرکزئ,تهران,2,239742,701303,343033,358270,35.74687039598525,51.36081229089002
تهران,تهران,مرکزئ,تهران,3,119052,330649,158401,172248,35.765934024766594,51.42289798974841
تهران,تهران,مرکزئ,تهران,4,304169,919001,457460,461541,35.75262143879696,51.52477334935757
تهران,تهران,مرکزئ,تهران,5,292257,858346,421444,436902,35.746381634069536,51.30790070384426
تهران,تهران,مرکزئ,تهران,6,85092,251384,123161,128223,35.726765231117625,51.401970334251445
تهران,تهران,مرکزئ,تهران,7,115930,312194,152024,160170,35.722959483452314,51.44145362864129
تهران,تهران,مرکزئ,تهران,8,148582,425197,208379,216818,35.72678425739885,51.49199715705882
تهران,تهران,مرکزئ,تهران,9,57688,174239,88163,86076,35.68622968204404,51.32143008878812
تهران,تهران,مرکزئ,تهران,10,117405,327115,162162,164953,35.68583753457432,51.3671992808468
تهران,تهران,مرکزئ,تهران,11,107627,307940,154477,153463,35.68110440089129,51.39474018198217
تهران,تهران,مرکزئ,تهران,12,79479,241831,122661,119170,35.68122622997925,51.42787081833855
تهران,تهران,مرکزئ,تهران,13,84161,248952,123289,125663,35.70748535919536,51.49938759691034
تهران,تهران,مرکزئ,تهران,14,171121,515795,258577,257218,35.674769502478554,51.48475159096659
تهران,تهران,مرکزئ,تهران,15,204306,641279,325985,315294,35.63846984717959,51.470005054959515
تهران,تهران,مرکزئ,تهران,16,87642,268406,134726,133680,35.64218186668654,51.41537051857182
تهران,تهران,مرکزئ,تهران,17,88398,273231,137540,135691,35.65757206471168,51.36403424557965
تهران,تهران,مرکزئ,تهران,18,130586,419882,213913,205969,35.65739820240746,51.299736010161325
تهران,تهران,مرکزئ,تهران,19,79515,261027,133048,127979,35.62898286696874,51.36699008304922
تهران,تهران,مرکزئ,تهران,20,115719,365259,183091,182168,35.601970476216366,51.435847364440924
تهران,تهران,مرکزئ,تهران,21,60602,186821,94035,92786,35.71007621863353,51.20168518317157
تهران,تهران,مرکزئ,تهران,22,55111,176347,89893,86454,35.74326901144945,51.20280102200267
اردبيل,اردبيل,مرکزئ,اردبيل,1,27926,93351,46798,46553,38.2547809547799,48.300808097981054
