ostan,shahrestan,bakhsh,shahr,fam,pop,m,f,lat,lon
مرکزي,زرنديه,خرقان,الوير,1240,3463,1714,1749,35.3871295,50.0001961
مرکزي,زرنديه,خرقان,عليشار,669,1969,978,991,35.4278601,49.7973456
مرکزي,زرنديه,خرقان,دوزج,1190,3797,1964,1833,35.396535,49.8233421
مرکزي,زرنديه,خرقان,رازقان,290,826,408,418,35.3312924,49.9556045
مرکزي,زرنديه,مرکزي,حکيم آباد,2794,8669,4480,4189,35.3510133,50.531849
مرکزي,زرنديه,مرکزي,خشک رود,1440,4384,2275,2109,35.36455505,50.284171344083354
مرکزي,زرنديه,مرکزي,رودشور,273,826,443,383,35.3101947,50.77224123761022
مرکزي,زرنديه,مرکزي,زاويه,1880,6027,3042,2985,35.3830162,50.5644495
مرکزي,زرنديه,مرکزي,مامونيه,6947,21814,10903,10911,35.3011297,50.5073612
مرکزي,زرنديه,مرکزي,خشکرود,1567,5246,2749,2497,35.399491,50.3345777
مرکزي,زرنديه,مرکزي,پرندک,2193,6886,3501,3385,35.3617104,50.6796099
مرکزي,کميجان,مرکزي,اسفندان,1394,4372,2223,2149,34.6231202,49.3468682
مرکزي,کميجان,مرکزي,وفس,2644,8038,3994,4044,34.8476223,49.3805955
مرکزي,کميجان,مرکزي,کميجان,2749,8776,4372,4404,34.7207822,49.3219622
مرکزي,کميجان,ميلاجرد,خسروبيک,1049,3540,1822,1718,#,#
مرکزي,کميجان,ميلاجرد,ميلاجرد,765,2427,1229,1198,34.6211735,49.2047717
مرکزي,کميجان,ميلاجرد,ميلاجرد,2738,9288,4845,4443,34.6211735,49.2047717
مرکزي,خنداب,قره چاي,اناج,3219,9956,5091,4865,34.2308391,49.3188002
مرکزي,خنداب,قره چاي,جاورسيان,2376,7098,3561,3537,34.2537757,49.43269396860929
مرکزي,خنداب,قره چاي,سنگ سفيد,2447,7825,4046,3779,34.26063125,49.17124779030467
مرکزي,خنداب,قره چاي,جاورسيان,1640,4993,2552,2441,34.2537757,49.43269396860929
مرکزي,خنداب,مرکزي,خنداب,2485,8954,4919,4035,34.413830700000005,49.19686033786344
مرکزي,خنداب,مرکزي,دهچال,2267,7382,3740,3642,34.48813535,49.0800066816076
مرکزي,خنداب,مرکزي,خنداب,2358,7810,3953,3857,34.413830700000005,49.19686033786344
مرکزي,فراهان,مرکزي,فرمهين,2795,7845,3914,3931,34.5044405,49.6842027
مرکزي,فراهان,مرکزي,فشک,1034,2636,1287,1349,34.6724379,49.7412719
مرکزي,فراهان,مرکزي,فرمهين,1856,5756,2937,2819,34.5044405,49.6842027
مرکزي,فراهان,خنجين,خنجين,884,2838,1411,1427,34.7562927,49.5320125
مرکزي,فراهان,خنجين,تلخاب,2134,6684,3432,3252,34.7136491,49.6485903
مرکزي,فراهان,خنجين,خنجين,1041,3235,1673,1562,34.7562927,49.5320125
گيلان,آستارا,مرکزئ,حيران,866,2718,1399,1319,38.4021131,48.6109479
گيلان,آستارا,مرکزئ,ويرموني,4358,14146,7161,6985,38.4150894,48.8319325
گيلان,آستارا,مرکزئ,آستارا,16696,51579,25873,25706,38.4193239,48.8715278
گيلان,آستارا,لوندويل,چلوند,1635,5370,2706,2664,38.2849707,48.8559064
گيلان,آستارا,لوندويل,لوندويل,1869,6209,3112,3097,38.3082625,48.8675037
گيلان,آستارا,لوندويل,لوندويل,3318,11235,5607,5628,38.3082625,48.8675037
گيلان,آستانه اشرفيه,کیاشهر,دهگاه,3537,9548,4893,4655,37.437250250000005,50.13100935627969
گيلان,آستانه اشرفيه,کیاشهر,کیاشهر,3425,9515,4895,4620,37.4188972,49.9488125
گيلان,آستانه اشرفيه,کیاشهر,کیاشهر,5037,14022,6962,7060,37.4188972,49.9488125
گيلان,آستانه اشرفيه,مرکزئ,دهشال,2784,7254,3673,3581,37.318322,50.0357261
گيلان,آستانه اشرفيه,مرکزئ,گورکا,3602,10250,5275,4975,37.3036278,49.93690403175036
گيلان,آستانه اشرفيه,مرکزئ,کيسم,3334,8935,4488,4447,37.2397101,49.8508369
گيلان,آستانه اشرفيه,مرکزئ,چهارده,1430,3665,1837,1828,37.2316247,49.818245
گيلان,آستانه اشرفيه,مرکزئ,آستانه اشرفيه,15675,44941,22344,22597,37.2607374,49.9456642
گيلان,بندرانزلي,مرکزئ,چهارفريضه,4428,12207,6082,6125,37.4676074,49.4610429
گيلان,بندرانزلي,مرکزئ,ليچارکي حسن رود,2711,8244,4343,3901,#,#
گيلان,بندرانزلي,مرکزئ,بندرانزلي,41053,118564,58802,59762,37.4638033,49.4932136
گيلان,طوالش,مرکزئ,ساحلي جوکندان,5585,19442,9856,9586,37.857203049999995,48.944854357340866
گيلان,طوالش,مرکزئ,طولارود,4918,16880,8595,8285,37.7829817,48.9106834
گيلان,طوالش,مرکزئ,کوهستاني تالش,2254,7482,3834,3648,37.83433455,48.7075876026252
گيلان,طوالش,مرکزئ,هشتپر (تالش),16832,54178,27097,27081,37.7974981,48.904184
گيلان,طوالش,کرگانرود,ليسار,2743,8570,4226,4344,37.958973,48.9082044
گيلان,طوالش,کرگانرود,خطبه سرا,4553,14291,7199,7092,38.008054,48.861199
گيلان,طوالش,کرگانرود,ليسار,1163,3647,1853,1794,37.958973,48.9082044
گيلان,طوالش,اسالم,اسالم,5146,16442,8246,8196,37.731171,48.9545271
گيلان,طوالش,اسالم,خاله سرا,2493,7702,3908,3794,37.689190749999995,49.01500536942022
گيلان,طوالش,اسالم,خرجگيل,2168,7355,3716,3639,37.711495,48.9056155
گيلان,طوالش,اسالم,اسالم,3271,10720,5387,5333,37.731171,48.9545271
گيلان,طوالش,حويق,حويق,2934,9826,4962,4864,38.1479478,48.8945515
گيلان,طوالش,حويق,چوبر,4222,14299,7252,7047,38.1795115,48.892019
گيلان,طوالش,حويق,حويق,1169,4261,2299,1962,38.1479478,48.8945515
گيلان,طوالش,حويق,چوبر,1604,5554,2792,2762,38.1795115,48.892019
گيلان,رشت,خمام,چوکام,4576,13533,6824,6709,37.2622733,49.616734
گيلان,رشت,خمام,چاپارخانه,3542,9967,5113,4854,37.4255387,49.6462157
گيلان,رشت,خمام,کته سر خمام,3687,10463,5386,5077,37.3643043,49.6854723
گيلان,رشت,خمام,خمام,7143,20897,10489,10408,37.3904902,49.6607472
گيلان,رشت,سنگر,اسلام آباد,5956,17659,8942,8717,37.15860385,49.7082583463996
گيلان,رشت,سنگر,سراوان,4233,12586,6401,6185,37.069175599999994,49.65834171964158
گيلان,رشت,سنگر,سنگر,4842,14475,7348,7127,37.179787,49.6947763
گيلان,رشت,سنگر,سنگر,4288,12583,6314,6269,37.179787,49.6947763
گيلان,رشت,کوچصفهان,بلسبنه,5819,17019,8650,8369,37.2756575,49.739423
گيلان,رشت,کوچصفهان,کنارسر,2227,6111,3126,2985,37.3080237,49.7950019
گيلان,رشت,کوچصفهان,لولمان,1901,5241,2619,2622,37.2551709,49.8150112
گيلان,رشت,کوچصفهان,کوچصفهان,3450,10026,4954,5072,37.2787049,49.7721208
گيلان,رشت,کوچصفهان,لولمان,2677,7426,3781,3645,37.2551709,49.8150112
گيلان,رشت,لشت نشاء,جيرهنده لشت نشاء,2113,5792,2934,2858,37.3307554,49.88653582824068
گيلان,رشت,لشت نشاء,علي آباد زيبا کنار,2789,7764,3958,3806,#,#
گيلان,رشت,لشت نشاء,گفشه لشت نشاء,2835,7799,3995,3804,37.3395921,49.83565157165679
گيلان,رشت,لشت نشاء,لشت نشاء,3742,10539,5236,5303,37.3592891,49.8621573
گيلان,رشت,مرکزئ,پسيخان,2859,8723,4448,4275,37.244699749999995,49.525955439803155
گيلان,رشت,مرکزئ,پيربازار,5542,16609,8488,8121,37.3420574,49.5471642
گيلان,رشت,مرکزئ,حومه,6788,20449,10283,10166,37.29390359999999,49.66714428732833
گيلان,رشت,مرکزئ,لاکان,3428,15209,9892,5317,37.192746,49.5853295
گيلان,رشت,مرکزئ,رشت,228142,679995,336313,343682,37.4171601,49.8137891
گيلان,رشت,خشکبیجار,حاجي بکنده خشکبیجار,3330,9282,4705,4577,37.4171601,49.8137891
گيلان,رشت,خشکبیجار,نوشر خشکبيجار,3322,9575,4829,4746,37.3692767,49.770668275806685
گيلان,رشت,خشکبیجار,خشکبیجار,2470,7245,3646,3599,37.4171601,49.8137891
گيلان,رودبار,رحمت آباد و بلوکات,بلوکات,1463,4440,2193,2247,36.93791795,49.62714438563842
گيلان,رودبار,رحمت آباد و بلوکات,دشتويل,1667,4927,2494,2433,36.846148549999995,49.611431103688616
گيلان,رودبار,رحمت آباد و بلوکات,رحمت آباد,1418,4014,1982,2032,36.93791795,49.62714438563842
گيلان,رودبار,رحمت آباد و بلوکات,توتکابن,493,1510,734,776,36.8928479,49.5276938
گيلان,رودبار,عمارلو,جيرنده,928,2656,1370,1286,36.7021301,49.7957151
گيلان,رودبار,عمارلو,کليشم,870,2232,1073,1159,36.7460461,49.9371003
گيلان,رودبار,عمارلو,جيرنده,791,2320,1154,1166,36.7021301,49.7957151
گيلان,رودبار,مرکزئ,رستم آباد جنوبي,1265,3657,1877,1780,36.907643050000004,49.358140893880645
گيلان,رودبار,مرکزئ,رستم آباد شمالي,836,2478,1233,1245,36.9904236,49.494034820358834
گيلان,رودبار,مرکزئ,کلشتر,1287,4289,2376,1913,36.788418,49.4227601
گيلان,رودبار,مرکزئ,لوشان,3958,13032,6694,6338,36.6279334,49.5162305
گيلان,رودبار,مرکزئ,رودبار,3559,10504,5245,5259,36.8219055,49.4268249
گيلان,رودبار,مرکزئ,منجيل,4950,15630,7901,7729,36.7448499,49.4000305
